Date,SPY
9/26/2017,245.7214
9/25/2017,245.5734
9/22/2017,246.0765
9/21/2017,246.0272
9/20/2017,246.6882
9/19/2017,246.5994
9/18/2017,246.3528
9/15/2017,245.8299
9/14/2017,245.4994
9/13/2017,245.5779
9/12/2017,245.4601
9/11/2017,244.6356
9/8/2017,242.0538
9/7/2017,242.3385
9/6/2017,242.368
9/5/2017,241.5434
9/1/2017,243.2907
8/31/2017,242.9471
8/30/2017,241.4943
8/29/2017,240.3556
8/28/2017,240.0808
8/25/2017,240.0709
8/24/2017,239.5114
8/23/2017,240.0709
8/22/2017,240.9348
8/21/2017,238.4414
8/18/2017,238.2549
8/17/2017,238.6279
8/16/2017,242.4072
8/15/2017,241.9851
8/14/2017,242.0146
8/11/2017,239.639
8/10/2017,239.2856
8/9/2017,242.7115
8/8/2017,242.7214
8/7/2017,243.3202
8/4/2017,242.8686
8/3/2017,242.4269
8/2/2017,242.8981
8/1/2017,242.7803
7/31/2017,242.2404
7/28/2017,242.3778
7/27/2017,242.6625
7/26/2017,242.8882
7/25/2017,242.8784
7/24/2017,242.2894
7/21/2017,242.3483
7/20/2017,242.5643
7/19/2017,242.4563
7/18/2017,241.1507
7/17/2017,241.0231
7/14/2017,241.0526
7/13/2017,239.9335
7/12/2017,239.531
7/11/2017,237.7444
7/10/2017,237.9211
7/7/2017,237.6659
7/6/2017,236.1345
7/5/2017,238.3138
7/3/2017,237.7641
6/30/2017,237.3616
6/29/2017,236.9198
6/28/2017,239.0206
6/27/2017,236.9002
6/26/2017,238.8242
6/23/2017,238.6672
6/22/2017,238.3825
6/21/2017,238.4905
6/20/2017,238.5494
6/19/2017,240.1691
6/16/2017,238.1862
6/15/2017,238.1341
6/14/2017,238.5933
6/13/2017,238.8961
6/12/2017,237.7336
6/9/2017,237.7825
6/8/2017,238.1439
6/7/2017,238.0267
6/6/2017,237.5871
6/5/2017,238.3491
6/2/2017,238.5249
6/1/2017,237.7336
5/31/2017,235.858
5/30/2017,235.9166
5/26/2017,236.1218
5/25/2017,236.1706
5/24/2017,235.0472
5/23/2017,234.5001
5/22/2017,233.9824
5/19/2017,232.8004
5/18/2017,231.296
5/17/2017,230.3679
5/16/2017,234.5294
5/15/2017,234.7444
5/12/2017,233.4549
5/11/2017,233.8456
5/10/2017,234.3243
5/9/2017,233.9043
5/8/2017,234.1192
5/5/2017,234.1582
5/4/2017,233.24
5/3/2017,232.9664
5/2/2017,233.2497
5/1/2017,233.1618
4/28/2017,232.5757
4/27/2017,233.0837
4/26/2017,232.8883
4/25/2017,233.0348
4/24/2017,231.6867
4/21/2017,229.1664
4/20/2017,229.899
4/19/2017,228.043
4/18/2017,228.463
4/17/2017,229.1468
4/13/2017,227.1345
4/12/2017,228.6193
4/11/2017,229.6255
4/10/2017,229.899
4/7/2017,229.7623
4/6/2017,229.9967
4/5/2017,229.352
4/4/2017,230.0358
4/3/2017,229.8893
3/31/2017,230.2898
3/30/2017,230.8271
3/29/2017,230.0944
3/28/2017,229.8795
3/27/2017,228.2188
3/24/2017,228.4533
3/23/2017,228.6193
3/22/2017,228.8635
3/21/2017,228.3262
3/20/2017,231.296
3/17/2017,231.55
3/16/2017,231.9573
3/15/2017,232.4145
3/14/2017,230.4205
3/13/2017,231.3056
3/10/2017,231.1889
3/9/2017,230.3816
3/8/2017,230.0898
3/7/2017,230.5178
3/6/2017,231.2084
3/3/2017,231.899
3/2/2017,231.7531
3/1/2017,233.2218
2/28/2017,230.0023
2/27/2017,230.6248
2/24/2017,230.2649
2/23/2017,229.9731
2/22/2017,229.8175
2/21/2017,230.0217
2/17/2017,228.66
2/16/2017,228.3002
